order,slug,title_pl,title_en,status,source_file,cover_image,stock_fallback
25,dieta-sibo-co-jesc,"Dieta przy SIBO: co jeść, czego nie obiecywać i jak nie utknąć w eliminacji","SIBO diet: what to eat, what not to promise and how not to get stuck in elimination",READY_FOR_CODEX,articles/25_dieta-sibo-co-jesc.md,/images/blog/dieta-sibo-co-jesc-cover.webp,https://www.pexels.com/photo/dinner-dish-with-rice-chicken-and-vegetables-6066052/
26,dieta-helicobacter-pylori-zapalenie-zoladka,"Dieta przy Helicobacter pylori i zapaleniu żołądka: co pomaga, a czego nie obiecywać",Helicobacter pylori and gastritis diet: what helps and what not to promise,READY_FOR_CODEX,articles/26_dieta-helicobacter-pylori-zapalenie-zoladka.md,/images/blog/dieta-helicobacter-pylori-zapalenie-zoladka-cover.webp,https://www.pexels.com/photo/delicious-banana-cinnamon-oatmeal-breakfast-bowl-28792769/
27,dieta-lekkostrawna-kiedy-ma-sens,"Dieta lekkostrawna: kiedy ma sens, jak ją ułożyć i kiedy z niej wychodzić","Light easily digestible diet: when it makes sense, how to build it and when to move on",READY_FOR_CODEX,articles/27_dieta-lekkostrawna-kiedy-ma-sens.md,/images/blog/dieta-lekkostrawna-kiedy-ma-sens-cover.webp,https://www.pexels.com/photo/healthy-meal-with-carrots-brussels-and-meat-4929721/
28,dieta-przy-biegunce-nawodnienie,"Dieta przy biegunce: nawodnienie, elektrolity i bezpieczny powrót do jedzenia","Diarrhoea diet: hydration, electrolytes and a safe return to eating",READY_FOR_CODEX,articles/28_dieta-przy-biegunce-nawodnienie.md,/images/blog/dieta-przy-biegunce-nawodnienie-cover.webp,https://www.pexels.com/photo/delicious-banana-oatmeal-breakfast-bowl-35578518/
29,dieta-po-antybiotyku-jelita,Dieta po antybiotyku: jak wspierać jelita bez mitów o „odbudowie flory” w tydzień,Diet after antibiotics: supporting the gut without myths about “rebuilding flora” in a week,READY_FOR_CODEX,articles/29_dieta-po-antybiotyku-jelita.md,/images/blog/dieta-po-antybiotyku-jelita-cover.webp,https://www.pexels.com/search/fermented%20food%20kefir/
30,dieta-przy-tradziku,"Dieta przy trądziku: niski ładunek glikemiczny, nabiał i fakty zamiast mitów","Acne diet: low glycaemic load, dairy and facts instead of myths",READY_FOR_CODEX,articles/30_dieta-przy-tradziku.md,/images/blog/dieta-przy-tradziku-cover.webp,https://www.pexels.com/photo/healthy-breakfast-in-bowl-7656614/
31,dieta-na-odpornosc-bez-mitow,"Dieta na odporność bez mitów: białko, witamina D, jelita i codzienne posiłki","Immune-supportive diet without myths: protein, vitamin D, gut health and everyday meals",READY_FOR_CODEX,articles/31_dieta-na-odpornosc-bez-mitow.md,/images/blog/dieta-na-odpornosc-bez-mitow-cover.webp,https://www.pexels.com/photo/food-ingredients-on-the-table-4051649/
32,dieta-nadczynnosc-tarczycy,"Dieta przy nadczynności tarczycy: energia, białko, wapń i ostrożność z jodem","Hyperthyroidism diet: energy, protein, calcium and caution with iodine",READY_FOR_CODEX,articles/32_dieta-nadczynnosc-tarczycy.md,/images/blog/dieta-nadczynnosc-tarczycy-cover.webp,https://www.pexels.com/photo/healthy-breakfast-flat-lay-with-fruits-and-toast-34305253/
33,dieta-na-plodnosc-przygotowanie-do-ciazy,"Dieta na płodność i przygotowanie do ciąży: foliany, masa ciała i spokojny plan","Fertility and preconception diet: folate, body weight and a calm plan",READY_FOR_CODEX,articles/33_dieta-na-plodnosc-przygotowanie-do-ciazy.md,/images/blog/dieta-na-plodnosc-przygotowanie-do-ciazy-cover.webp,https://www.pexels.com/photo/egg-and-vegetable-dish-2067473/
34,zdrowe-drugie-sniadanie-do-szkoly,"Zdrowe drugie śniadanie do szkoły: lunchbox, który dziecko naprawdę zje",Healthy school lunchbox: a balanced second breakfast children will actually eat,READY_FOR_CODEX,articles/34_zdrowe-drugie-sniadanie-do-szkoly.md,/images/blog/zdrowe-drugie-sniadanie-do-szkoly-cover.webp,https://www.pexels.com/photo/healthy-lunchbox-with-fruits-and-vege-5852329/
